Municipio,Tasa de variacion de la poblacion,% de poblacion > 65,% de jovenes,% de mujeres,% de inmigrantes extranjeros,Tasa de asociacionismo,Tasa de paro,Presión fiscal pc,Renta pc,Índice de e-información,Índice de e-participación,Índice de e-consulta,Índice otros elementos,Índice global,Tamanio_0,Tamanio_1,Tamanio_2
Albacete,2.3,15.7,10.87,51.1,4.67,0.002881678,13.8,564.9968613,25423.0,0.96,0.8,0.3,0.38,2.43,0,0,1
Almansa,-9.4,18.0,11.0,50.23,4.0,0.000325653,15.99,499.7150533,20950.0,0.85,0.65,0.0,0.38,1.88,0,0,1
Caudete,-10.4,18.3,11.27,49.14,8.93,0.001198801,16.26,595.4626454,18218.0,0.72,0.7,0.0,0.0,1.42,0,0,1
Hellín,-7.7,17.6,12.01,50.1,6.5,0.000298171,18.31,366.167506,17980.0,0.79,0.55,0.0,0.0,1.34,0,0,1
Roda (La),-9.2,17.2,10.87,49.45,10.68,0.0,14.65,606.6612216,19176.0,0.5,0.7,0.0,0.38,1.58,0,0,1
Tarazona Mancha,-15.0,20.9,11.13,49.38,7.13,0.0,19.65,480.6773534,16230.0,0.76,0.5,0.0,0.0,1.26,0,0,1
Tobarra,-8.7,21.5,11.4,49.17,9.7,0.008640702,15.44,0.0,16437.0,0.45,0.8,0.0,0.0,1.25,0,0,1
Villarrobledo,-10.6,17.2,11.58,50.46,10.95,0.003515424,14.25,0.0,19684.0,0.93,0.9,0.4,0.38,2.61,0,0,1
Balazote,1.7,18.8,12.17,48.72,5.5,0.0,16.36,457.3642553,17728.0,0.81,0.5,0.0,0.0,1.31,0,1,0
Bonillo (El),-12.8,24.1,12.59,48.67,2.6,0.002881678,18.58,0.0,15165.0,0.74,0.5,0.0,0.0,1.24,0,1,0
Casas-Ibáñez,0.7,20.2,10.86,49.03,11.2,0.0,15.33,515.0546731,18381.0,0.83,0.6,0.0,0.13,1.55,0,1,0
Elche de la Sierra,-12.1,22.0,10.64,49.81,1.9,0.0,22.7,730.4228041,17193.0,0.86,0.6,0.0,0.0,1.46,0,1,0
Fuente-Álamo,-16.7,21.9,11.81,47.41,11.3,0.000395101,19.49,0.0,15759.0,0.75,0.7,0.0,0.0,1.45,0,1,0
Gineta (La),-20.7,16.8,9.28,48.8,5.3,0.001628002,13.82,634.920696,18100.0,0.35,0.7,0.0,0.0,1.05,0,1,0
Madrigueras,-5.1,21.9,9.68,48.55,6.3,0.001506348,16.13,441.5984506,18294.0,0.79,0.65,0.0,0.0,1.44,0,1,0
Ossa Montiel,-4.5,24.6,10.33,50.6,2.8,0.0,18.6,554.1907341,15148.0,0.76,0.6,0.0,0.0,1.36,0,1,0
Villamalea,10.3,20.5,10.57,49.85,17.2,0.0,13.64,422.1387003,14969.0,0.28,0.4,0.0,0.0,0.68,0,1,0
Yeste,-27.0,37.9,8.42,48.87,0.8,0.0,24.9,681.4369074,13742.0,0.81,0.6,0.0,0.0,1.41,0,1,0
Alcalá Júcar,-12.3,31.5,8.15,46.59,7.1,0.0,15.18,734.8252912,14056.0,0.62,0.5,0.0,0.13,1.25,1,0,0
Barrax,-16.3,18.3,12.93,49.25,7.2,0.0,20.77,0.0,16527.0,0.14,0.5,0.0,0.0,0.64,1,0,0
Cenizate,-10.0,21.8,11.41,49.41,16.4,0.009228188,16.13,346.4865772,13155.0,0.69,0.6,0.0,0.0,1.29,1,0,0
Mahora,3.7,22.3,9.04,48.68,4.2,0.0,16.24,538.6550074,15741.0,0.62,0.4,0.0,0.0,1.02,1,0,0
Minaya,-3.2,27.4,7.93,47.4,11.0,0.0,14.51,522.106632,14501.0,0.72,0.5,0.0,0.0,1.22,1,0,0
Nerpio,-25.9,30.8,9.08,45.18,0.8,0.0,22.09,610.3476899,12582.0,0.78,0.6,0.0,0.0,1.38,1,0,0
Villalgordo Júcar,-2.7,26.3,9.69,47.38,4.2,0.0,9.58,0.0,13029.0,0.7,0.6,0.0,0.0,1.3,1,0,0
Abengibre,-17.1,30.1,8.16,52.01,5.2,0.00802139,12.11,451.587393,13029.0,0.78,0.7,0.0,0.0,1.48,1,0,0
Alborea,-18.3,28.4,10.33,48.78,10.6,0.018651363,19.95,443.8393113,13029.0,0.73,0.7,0.0,0.0,1.43,1,0,0
Balsa Ves,-122.6,83.1,7.35,41.18,2.9,0.0,15.87,773.3213235,14056.0,0.47,0.3,0.0,0.0,0.77,1,0,0
Carcelén,5.8,41.5,8.45,45.11,5.6,0.011516315,18.22,734.1812284,13742.0,0.72,0.5,0.0,0.5,1.72,1,0,0
Casas Ves,-39.8,34.7,8.76,47.77,5.6,0.012738854,14.84,655.6719745,14056.0,0.62,0.6,0.0,0.0,1.22,1,0,0
Casas de Lázaro,-57.9,39.1,6.98,43.3,2.0,0.0,15.35,682.8745531,14056.0,0.12,0.3,0.0,0.0,0.42,1,0,0
Golosalvo,-9.0,34.5,3.64,46.36,6.4,0.036363636,21.54,470.7272727,14056.0,0.58,0.5,0.0,0.0,1.08,1,0,0
San Pedro,-43.0,24.4,12.13,49.11,4.3,0.0,21.63,516.8787108,16437.0,0.76,0.5,0.0,0.13,1.38,1,0,0
Hoya-Gonzalo,-34.5,28.9,9.33,46.5,3.1,0.0,13.27,622.3805754,14501.0,0.7,0.4,0.0,0.0,1.1,1,0,0
Montalvos,-55.6,36.3,1.96,45.1,1.0,0.0,5.08,899.0196078,14056.0,0.73,0.4,0.0,0.0,1.13,1,0,0
Masegoso,-49.6,47.8,2.61,45.22,0.0,0.0,7.14,0.0,14056.0,0.64,0.35,0.0,0.0,0.99,1,0,0
Motilleja,-1.8,27.9,8.38,46.63,5.1,0.016393443,19.22,783.6065574,13029.0,0.74,0.7,0.0,0.0,1.44,1,0,0
Navas Jorquera,-3.8,25.6,11.66,48.37,18.0,0.019120459,15.27,441.8546845,13029.0,0.72,0.6,0.0,0.0,1.32,1,0,0
Peñascosa,-15.0,32.6,7.93,46.04,0.9,0.0,17.33,0.0,14056.0,0.73,0.5,0.0,0.0,1.23,1,0,0
Valdeganga,-9.1,27.2,8.38,48.98,2.4,0.008171604,14.49,527.6046987,13029.0,0.73,0.7,0.0,0.0,1.43,1,0,0
Pozo-Lorente,12.2,37.7,8.94,48.07,2.9,0.0,19.33,846.1352657,13742.0,0.72,0.6,0.0,0.0,1.32,1,0,0
Ayna,-26.1,44.6,5.06,46.43,2.4,0.014880952,12.57,0.0,14056.0,0.16,0.5,0.0,0.0,0.66,1,0,0
Paterna del Madera,-42.7,35.9,5.29,46.52,1.7,0.0,19.42,530.8439276,14056.0,0.12,0.4,0.0,0.0,0.52,1,0,0
Villaverde Guadalimar,-27.9,29.8,6.59,47.56,1.7,0.0,27.52,365.6160458,14056.0,0.66,0.4,0.0,0.0,1.06,1,0,0
