,Tamanio,Tasa de variacion de la poblacion,% de poblacion > 65,% de jovenes,% de mujeres,% de inmigrantes extranjeros,Tasa de paro,Presión fiscal pc,Índice de e-información,Índice de e-participación,Índice global
Tamanio,1.0,0.29991119837325564,-0.5382891956538103,0.5288470183664362,0.5628261259188674,0.24039107600319437,0.023719628298263205,-0.13211450952377277,0.27593408186379753,0.5216001791259866,0.5132303306574292
Tasa de variacion de la poblacion,0.29991119837325564,1.0,-0.7443381491821214,0.4365399985721924,0.6521045004981288,0.3959575755279418,0.10973497753440097,-0.147510502249412,0.31749496445650854,0.4943896353807078,0.41923782613720223
% de poblacion > 65,-0.5382891956538103,-0.7443381491821214,1.0,-0.62391782980725,-0.7933858135439308,-0.4077834267694408,-0.08814561012932222,0.2070936275799711,-0.2724407926943274,-0.5486442016078201,-0.41861427068981066
% de jovenes,0.5288470183664362,0.4365399985721924,-0.62391782980725,1.0,0.6123633174195431,0.4912119334034197,0.2889826168837511,-0.20185499960295772,0.2777209257508302,0.48191150931791493,0.39664830534618867
% de mujeres,0.5628261259188674,0.6521045004981288,-0.7933858135439308,0.6123633174195431,1.0,0.36278400044298337,0.10675496676189991,-0.18126863333495727,0.35779154689395193,0.629876744040384,0.5028305432595686
% de inmigrantes extranjeros,0.24039107600319437,0.3959575755279418,-0.4077834267694408,0.4912119334034197,0.36278400044298337,1.0,-0.08830971100322277,-0.15831047451532282,0.003906915042497017,0.3264759462128424,0.16952780441932275
Tasa de paro,0.023719628298263205,0.10973497753440097,-0.08814561012932222,0.2889826168837511,0.10675496676189991,-0.08830971100322277,1.0,0.09725362221721784,0.08127035780176708,0.02571418099185739,-0.00014033700472556774
Presión fiscal pc,-0.13211450952377277,-0.147510502249412,0.2070936275799711,-0.20185499960295772,-0.18126863333495727,-0.15831047451532282,0.09725362221721784,1.0,0.1182207790919809,-0.14839258483843842,0.008076454488364589
Índice de e-información,0.27593408186379753,0.31749496445650854,-0.2724407926943274,0.2777209257508302,0.35779154689395193,0.003906915042497017,0.08127035780176708,0.1182207790919809,1.0,0.43886008882728283,0.8009738186965842
Índice de e-participación,0.5216001791259866,0.4943896353807078,-0.5486442016078201,0.48191150931791493,0.629876744040384,0.3264759462128424,0.02571418099185739,-0.14839258483843842,0.43886008882728283,1.0,0.7537560754856003
Índice global,0.5132303306574292,0.41923782613720223,-0.41861427068981066,0.39664830534618867,0.5028305432595686,0.16952780441932275,-0.00014033700472556774,0.008076454488364589,0.8009738186965842,0.7537560754856003,1.0
